1_Remembering,2_Understanding,3_Applying,4_Analyzing,5_Evaluating,6_Creating
Choose,Classify,Apply,Analyze,Agree,Adapt
Define,Compare,Build,Assume,Appraise,Build
Find,Contrast,Choose,Categorize,Assess,Change
How,Demonstrate,Construct,Classify,Award,Choose
Label,Explain,Develop,Compare,Choose,Combine
List,Extend,Experiment,Conclusion,Compare,Compile
Match,Illustrate,Interview,Contrast,Conclude,Compose
Name,Infer,Use,Discover,Criteria,Construct
Omit,Interpret,Model,Dissect,Criticize,Create
Recall,Outline,Organize,Distinguish,Decide,Delete
Relate,Relate,Plan,Divide,Deduct,Design
Select,Rephrase,Select,Examine,Defend,Develop
Show,Show,Solve,Function,Determine,Discuss
Spell,Summarize,Utilize,Inference,Disprove,Elaborate
Tell,Translate,Add,Inspect,Estimate,Estimate
What,Describe,Provide,Motive,Evaluate,Formulate
When,Recognize,Search,Relationships,Explain,Happen
Where,Communicate,Locate,Simplify,Importance,Imagine
Which,Reproduce,Manage,Survey,Influence,Improve
Who,Retrieve,Setting,Take part in,Interpret,Invent
Why,Download,Operate,Test for,Judge,Make
State,Calculate,Facilitate,Theme,Justify,Maximize
Pick,Present,Lead,Analyse,Mark,Minimize
Identify,Knowledge,Speak,Differentiate,Measure,Modify
,Understanding,Embed,Verify,Opinion,Original
,,Uncover,Validate,Perceive,Originate
,,Spreading,,Prioritize,Plan
,,Set,,Prove,Predict
,,Navigate,,Rate,Propose
,,Handle,,Recommend,Solution
,,Convert,,Rule,Solve
,,Employ,,Select,Suppose
,,Untangle,,Support,Test
,,Perform,,Value,Theory
,,Link,,,Maximize
,,Vizualize,,,Minimize
,,Publish,,,Produce
,,Work,,,Creating
,,Visualize,,,
,,Deal,,,
